Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City
750678428,A,Normal,Male,Health and beauty,74.69,7,26.1415,548.9714999999999,2019-01-05,13:04:00,Ewallet,9.1,Yangon
226313081,C,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:17:00,Cash,9.6,Naypyitaw
631413108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:13:00,Credit card,7.4,Yangon
123191176,A,Normal,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,08:18:00,Ewallet,8.4,Yangon
373737910,A,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:22:00,Ewallet,5.3,Yangon
699143026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:18:00,Ewallet,4.1,Naypyitaw
355535943,A,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:21:00,Ewallet,5.8,Yangon
315225665,C,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:22:00,Ewallet,8.0,Naypyitaw
665329167,A,Normal,Male,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:08:00,Credit card,7.2,Yangon
692925582,B,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:16:00,Credit card,5.9,Mandalay
351620822,B,Normal,Male,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:04:00,Ewallet,4.5,Mandalay
529563974,B,Normal,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:01:00,Cash,6.8,Mandalay
365640515,A,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:15:00,Ewallet,7.1,Yangon
252562699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:28:00,Ewallet,8.2,Yangon
829343910,A,Normal,Male,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:12:00,Cash,5.7,Yangon
299461805,B,Normal,Male,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:11:00,Cash,4.5,Mandalay
656959349,A,Normal,Male,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:01:00,Credit card,4.6,Yangon
765266951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:23:00,Credit card,6.9,Yangon
329621586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,8.6,Yangon
319503348,B,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:18:00,Ewallet,4.4,Mandalay
300714605,C,Normal,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:14:00,Ewallet,4.8,Naypyitaw
371855789,B,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:24:00,Ewallet,5.1,Mandalay
273166619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:11:00,Credit card,4.4,Mandalay
636488204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:09:00,Ewallet,9.9,Yangon
549591358,A,Normal,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:21:00,Ewallet,6.0,Yangon
227035010,A,Normal,Male,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:11:00,Credit card,8.5,Yangon
649296775,B,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:18:00,Cash,6.7,Mandalay
189174241,A,Normal,Male,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:10:00,Credit card,7.7,Yangon
145949061,B,Normal,Male,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:28:00,Cash,9.6,Mandalay
848627243,A,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:21:00,Cash,7.4,Yangon
871798483,B,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:23:00,Credit card,4.8,Mandalay
149716266,B,Normal,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:25:00,Cash,4.5,Mandalay
640492076,B,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:29:00,Cash,5.1,Mandalay
595115460,A,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:07:00,Credit card,5.1,Yangon
183566882,C,Normal,Male,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:25:00,Ewallet,7.5,Naypyitaw
232162483,C,Normal,Male,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:16:00,Ewallet,6.8,Naypyitaw
129298530,A,Normal,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:08:00,Ewallet,7.0,Yangon
272651806,A,Normal,Male,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:10:00,Ewallet,4.7,Yangon
333737901,C,Normal,Male,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:14:00,Ewallet,7.6,Naypyitaw
777827220,B,Normal,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:00:00,Cash,7.7,Mandalay
280355823,B,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:26:00,Ewallet,7.9,Mandalay
554538700,C,Normal,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:06:00,Cash,6.3,Naypyitaw
354255821,B,Normal,Male,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:01:00,Cash,5.6,Mandalay
228961411,C,Normal,Male,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:23:00,Cash,7.6,Naypyitaw
617154209,C,Normal,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:28:00,Cash,7.2,Naypyitaw
132329879,B,Normal,Male,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00:00,Cash,9.5,Mandalay
370417321,B,Normal,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:14:00,Credit card,8.4,Mandalay
727463608,B,Normal,Male,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:28:00,Ewallet,4.1,Mandalay
669541719,B,Normal,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:26:00,Credit card,8.1,Mandalay
574225561,C,Normal,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:04:00,Ewallet,7.9,Naypyitaw
326785178,C,Normal,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:11:00,Cash,9.5,Naypyitaw
162488011,A,Normal,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:05:00,Cash,8.5,Yangon
616242851,B,Normal,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:25:00,Ewallet,6.5,Mandalay
778715554,C,Normal,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:27:00,Credit card,6.1,Naypyitaw
242556721,B,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:29:00,Ewallet,6.5,Mandalay
399465918,C,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:00:00,Cash,8.2,Naypyitaw
106356779,A,Normal,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:15:00,Cash,5.8,Yangon
635406220,A,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:16:00,Ewallet,6.6,Yangon
817488732,A,Normal,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:33:00,Cash,5.4,Yangon
120064233,C,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:21:00,Cash,9.3,Naypyitaw
285685083,C,Normal,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:28:00,Credit card,10.0,Naypyitaw
803835989,C,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:33:00,Ewallet,7.0,Naypyitaw
347342234,B,Normal,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:24:00,Ewallet,10.0,Mandalay
199758169,A,Normal,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:16:00,Credit card,8.6,Yangon
853232453,B,Normal,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:20:00,Cash,7.6,Mandalay
877223308,A,Normal,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:23:00,Cash,5.8,Yangon
838784295,C,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:25:00,Ewallet,6.7,Naypyitaw
109282512,B,Normal,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:00:00,Ewallet,9.9,Mandalay
232113025,A,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:02:00,Cash,6.4,Yangon
382034532,A,Normal,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:30:00,Cash,4.3,Yangon
393652792,C,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:27:00,Credit card,9.6,Naypyitaw
796122025,C,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:11:00,Cash,5.9,Naypyitaw
510956347,B,Normal,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:10:00,Ewallet,4.0,Mandalay
841356630,C,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:12:00,Cash,8.7,Naypyitaw
287219091,A,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:33:00,Ewallet,9.4,Yangon
732940499,C,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:02:00,Credit card,5.4,Naypyitaw
263103913,C,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:11:00,Credit card,8.6,Naypyitaw
381200914,A,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:28:00,Credit card,5.7,Yangon
829491914,C,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:14:00,Ewallet,6.6,Naypyitaw
756017507,C,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:33:00,Cash,6.0,Naypyitaw
870724431,C,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:25:00,Credit card,5.5,Naypyitaw
847387188,B,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:33:00,Ewallet,6.4,Mandalay
480632856,C,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:22:00,Ewallet,6.6,Naypyitaw
787560757,C,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:26:00,Credit card,8.3,Naypyitaw
360395055,C,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:10:00,Cash,6.6,Naypyitaw
730509884,C,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:18:00,Ewallet,4.0,Naypyitaw
362588315,C,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:13:00,Cash,9.9,Naypyitaw
633448566,A,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:21:00,Credit card,7.3,Yangon
504358843,A,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:34:00,Cash,5.7,Yangon
318685053,B,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:33:00,Cash,6.1,Mandalay
565805980,C,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:15:00,Cash,7.1,Naypyitaw
225320908,C,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:32:00,Ewallet,8.2,Naypyitaw
873510671,A,Member,Female,Sports and travel,21.98,7,7.693000000000001,161.553,2019-01-10,16:25:00,Ewallet,5.1,Yangon
152089985,B,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:05:00,Credit card,8.6,Mandalay
512910811,C,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:03:00,Credit card,6.6,Naypyitaw
594344444,A,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:22:00,Ewallet,7.2,Yangon
766857061,B,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:15:00,Ewallet,5.1,Mandalay
871399221,C,Normal,Female,Electronic accessories,12.45,6,3.7349999999999994,78.435,2019-02-09,13:06:00,Cash,4.1,Naypyitaw
865926136,A,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:09:00,Ewallet,9.3,Yangon
733019107,B,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:08:00,Cash,7.4,Mandalay
163567055,C,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:11:00,Cash,4.1,Naypyitaw
189982939,C,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:13:00,Cash,7.2,Naypyitaw
551213069,C,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:16:00,Cash,4.9,Naypyitaw
212621842,A,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:26:00,Cash,9.9,Yangon
716391409,B,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:11:00,Cash,8.0,Mandalay
704483927,A,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:30:00,Ewallet,7.3,Yangon
628343388,C,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:32:00,Credit card,7.9,Naypyitaw
630745166,A,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:11:00,Cash,7.4,Yangon
588017461,C,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:25:00,Cash,4.2,Naypyitaw
861770145,C,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:18:00,Cash,9.2,Naypyitaw
479268945,B,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:19:00,Ewallet,4.6,Mandalay
210675886,C,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:24:00,Credit card,7.8,Naypyitaw
227781148,B,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:26:00,Cash,8.4,Mandalay
645441170,A,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:04:00,Ewallet,4.3,Yangon
237016122,C,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:18:00,Credit card,9.5,Naypyitaw
225981496,C,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:00:00,Credit card,7.1,Naypyitaw
291321427,B,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:17:00,Ewallet,5.3,Mandalay
659658956,B,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:15:00,Ewallet,5.2,Mandalay
642322990,A,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:28:00,Ewallet,6.0,Yangon
378242715,B,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:22:00,Ewallet,4.1,Mandalay
638607125,A,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:01:00,Credit card,5.2,Yangon
659361684,C,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:01:00,Credit card,6.5,Naypyitaw
219229386,B,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:15:00,Credit card,4.2,Mandalay
